origin,destination,origin segment,destination segment,links crossed,links down,survey trips,ticketing trips,diff trips,diff link-trips
Bazan-Hutsot,Hamifrats,trunk,trunk,1,1,0.0,34.2,-34.2,-34.2
Bazan-Hutsot,TsometKiryatAta,trunk,trunk,1,0,0.0,1.2,-1.2,-1.2
Bazan-Hutsot,KiryatAta North,trunk,T1,2,0,0.0,0.5,-0.5,-1.0
Bazan-Hutsot,KiryatAta North-East,trunk,T1,3,0,0.0,0.0,0.0,0.0
Bazan-Hutsot,Shefaram,trunk,T1,4,0,0.1,0.0,0.1,0.6
Bazan-Hutsot,Hamovil,trunk,T1,5,0,0.1,0.0,0.1,0.3
Bazan-Hutsot,Nazareth,trunk,T1,6,0,0.0,1.0,-1.0,-5.8
Bazan-Hutsot,TsurShalom,trunk,T2,5,0,0.1,1.2,-1.1,-5.6
Bazan-Hutsot,Kiryon,trunk,T2,4,0,0.4,0.5,-0.1,-0.4
Bazan-Hutsot,KiryatBialik Center,trunk,T2,3,0,0.4,13.9,-13.5,-40.4
Bazan-Hutsot,KiryatHaim,trunk,T2,2,0,1.9,0.8,1.2,2.4
Bazan-Hutsot,SavyoneyYam,trunk,T3,5,0,0.1,0.8,-0.7,-3.3
Bazan-Hutsot,KiryatYam A,trunk,T3,4,0,0.2,0.2,-0.0,-0.0
Bazan-Hutsot,KiryatYam B+C,trunk,T3,3,0,2.9,0.8,2.2,6.5
Bazan-Hutsot,KiryatHaim West,trunk,T3,2,0,1.2,0.7,0.5,1.0
TsometKiryatAta,TiratCarmel,trunk,trunk,11,11,0.0,0.0,0.0,0.4
TsometKiryatAta,Matam-NeotPeres,trunk,trunk,10,10,1.2,5.7,-4.5,-45.3
TsometKiryatAta,HofCarmel-NeveDavid,trunk,trunk,9,9,0.1,0.0,0.1,0.9
TsometKiryatAta,Hecht-Shprintzak,trunk,trunk,8,8,0.2,0.0,0.2,1.7
TsometKiryatAta,EinHayam,trunk,trunk,7,7,0.1,0.0,0.1,0.5
TsometKiryatAta,BatGalim-KiryatEliezer,trunk,trunk,6,6,1.0,12.2,-11.2,-67.4
TsometKiryatAta,Hamoshava,trunk,trunk,5,5,2.6,0.0,2.6,12.8
TsometKiryatAta,LowerCity,trunk,trunk,4,4,8.0,0.0,8.0,32.2
TsometKiryatAta,Namal-Giborim,trunk,trunk,3,3,3.6,0.0,3.6,10.7
TsometKiryatAta,Hamifrats,trunk,trunk,2,2,0.1,0.0,0.1,0.1
TsometKiryatAta,Bazan-Hutsot,trunk,trunk,1,1,0.0,0.0,0.0,0.0
TsometKiryatAta,KiryatAta North,trunk,T1,1,0,0.1,1.2,-1.2,-1.2
