TAZ,households,sampled_persons,weighted_persons,weighted_trips_10,weighted_trips_20,rate_10,rate_20,rate_avg
2411,3,10,3324.99,4550,2974.99,1.36843,0.894736,1.13158
2415,1,6,2100,3850,3500,1.83333,1.66667,1.75
2416,4,14,4502.15,4067.38,4067.38,0.903431,0.903431,0.903431
2419,15,58,10884.5,7496.81,7707.99,0.68876,0.708162,0.698461
2421,1,5,825.355,990.426,1155.5,1.2,1.4,1.3
2422,2,7,2052.15,1050,1569.54,0.511658,0.764825,0.638241
2423,3,17,5925.31,3136.85,3835.23,0.529398,0.647263,0.588331
2501,6,20,4462.59,4250.74,5181.94,0.952526,1.1612,1.05686
2503,2,6,1662.1,1321.51,2295.6,0.795085,1.38114,1.08811
2504,11,42,13122.2,15743.2,18020.4,1.19973,1.37327,1.2865
2505,9,22,7379.59,9090.69,8280.12,1.23187,1.12203,1.17695
3001,8,28,6432.54,4554.6,5691.79,0.708056,0.884844,0.79645
3002,9,30,6109.96,3733.38,3225.3,0.611032,0.527877,0.569454
3003,13,63,7377.06,6783.17,6267.26,0.919496,0.849561,0.884528
3004,5,18,5043.3,5066.92,5805.63,1.00468,1.15116,1.07792
3005,2,11,3687.16,2734.87,634.866,0.741726,0.172183,0.456954
3006,3,12,4199.92,1049.94,3499.92,0.249992,0.83333,0.541661
3007,4,17,2825.76,895.22,1626.5,0.316806,0.575596,0.446201
3008,8,35,7333.69,4862.63,4895.34,0.663053,0.667513,0.665283
3009,11,33,4227.45,2641.39,2734.35,0.62482,0.646809,0.635814
3010,7,30,8625.77,6483.36,5701.51,0.751627,0.660986,0.706306
3011,4,14,3028.32,1837.29,1837.29,0.606702,0.606702,0.606702
3012,8,33,6994,4519.76,4301.15,0.646235,0.614978,0.630606
3013,5,23,5831,2960.93,2470.55,0.507791,0.423691,0.465741
3101,14,47,12198.8,9286.41,9378.34,0.761259,0.768794,0.765026
3103,22,100,18061.5,7885.49,7792.88,0.43659,0.431463,0.434026
3104,8,30,8220.85,5827.85,5127.85,0.708911,0.623761,0.666336
3106,8,30,6186.55,6149.11,7180.25,0.993949,1.16062,1.07729
3107,4,17,4574.93,5925.8,4565.47,1.29528,0.997932,1.1466
3108,6,22,6436.58,5394.79,3820.79,0.838146,0.593605,0.715876
3201,12,29,9308.81,7632.66,6932.66,0.81994,0.744742,0.782341
3205,12,39,8594.6,13470.6,9943.72,1.56734,1.15697,1.36215
