ClusterName,StopCode,Lat,Long,StopName,TAZ
מרחב נצרת ג'י.בי טורס,55484,32.698284,35.295048,אבונא אוגו,1928.000000
קווי נצרת – שאמ,55484,32.698456,35.295223,אבונא אוגו,1928.000000
קווי נצרת - נסיעות ותיירות,58557,32.859717,35.295281,פלסטין/רגא א.ריא,3008.000000
קווי נצרת – שאמ,58629,32.685540,35.284571,פארק ביר אל-אמיר,1931.000000
קווי נצרת – שאמ,58638,32.703618,35.291042,אל-כורום/בתריס,1924.000000
קווי נצרת - נסיעות ותיירות,58465,32.718976,35.262893,מכולת,1907.000000
קווי נצרת - נסיעות ותיירות,58468,32.717089,35.270454,עילוט פ'/יציאה,1907.000000
הגליל,58476,32.808629,35.179672,לש.התעסוקה/שפרעם,405.000000
קווי נצרת - נסיעות ותיירות,58490,32.878647,35.434210,שכ. ראס אלח'אביה,3506.000000
קווי נצרת - נסיעות ותיירות,56795,32.693051,35.299610,זיאד/ כביש 60,1926.000000
קווי נצרת – שאמ,56820,32.688400,35.292930,עוקף/אל-קפזה,1932.000000
קווי נצרת - נסיעות ותיירות,57304,32.861855,35.365655,דייר חנא/מרכז,3013.000000
קווי נצרת – שאמ,56845,32.713912,35.336359,מרכזה/העבודה,2001.000000
קווי נצרת – שאמ,56855,32.701770,35.292309,בית חולים אנגלי,1925.000000
קווי נצרת – שאמ,56860,32.713564,35.297485,מסגד עומר,1923.000000
קווי נצרת – שאמ,56861,32.712739,35.297765,מסגד עומר/ג'מאל,1924.000000
קווי נצרת – שאמ,56862,32.711349,35.298290,אל-גמאל/אל-ג'באל,1924.000000
חדרה-נתניה,40624,32.412482,35.041812,ביר באקה/אלמליאת,4020.000000
קווי נצרת - נסיעות ותיירות,40668,32.472149,35.020237,צומת חריש לצפון,4001.000000
חדרה-נתניה,40701,32.425026,35.035866,אלקודס/אלפתח,4018.000000
חדרה-נתניה,40873,32.523436,35.131848,כ65/אום אל פחם ב,3810.000000
קווי נצרת - נסיעות ותיירות,57986,32.807784,35.373100,מסגד,1938.000000
קווי נצרת - נסיעות ותיירות,58523,32.866869,35.311427,איצטדיון/אלדוחה,3001.000000
קווי נצרת - נסיעות ותיירות,51877,32.730223,35.211494,גריפאת 5,2102.000000
קווי נצרת - נסיעות ותיירות,51901,32.741860,35.203819,ב.עלמין/חג'אג'רה,2201.000000
קווי נצרת - נסיעות ותיירות,51924,32.728997,35.227135,צומת אל הייב,2102.000000
קווי נצרת - נסיעות ותיירות,51940,32.809465,35.262378,א.ח.עלאם/אלבוסתן,1003.000000
קווי נצרת - נסיעות ותיירות,51941,32.807243,35.258377,קופת חולים כללית,1004.000000
קווי נצרת - נסיעות ותיירות,58526,32.870124,35.302282,אלירמוק/שכ' קסום,3004.000000
קווי נצרת - נסיעות ותיירות,58532,32.861319,35.293183,אלתחריר,3008.000000
קווי נצרת - נסיעות ותיירות,51951,32.807590,35.259667,כפר מנדא/בנק,1003.000000
קווי נצרת - נסיעות ותיירות,51957,32.891065,35.410438,טלעת אל סינמה,3506.000000
קו אדום גוש דן,20701,32.060570,34.761585,אליפלט,
קווי נצרת - נסיעות ותיירות,58541,32.870156,35.299084,אלמסאחה א,3004.000000
קווי נצרת - נסיעות ותיירות,51961,32.891294,35.405924,שכונת המסג'ד,3507.000000
