stop_id,stop_code,stop_name,x,y,TAZ
1622,40730,באקה/כניסה דרומית,204649.7,702156.6,4020
1624,40732,אלקודס/אלמקריזי,204652.7,702027.0,4020
1626,40734,אלקודס/תיכון מקיף,204703.7,701686.5,4020
1627,40735,בריכת שחייה/אלקודס,204751.6,701501.0,4020
1629,40737,צומת בקה אל שרקיה,204746.5,700379.1,4021
1630,40739,'וייצמן ג,204776.7,701307.4,4020
1631,40740,'וייצמן א,204873.9,700621.4,4020
1632,40741,6353/ספיר,205064.9,707420.4,3825
1634,40750,כביש 653/השדה,194118.3,713783.8,3907
1636,40752,צומת אולגה,189974.3,704968.8,4016
1637,40753,חזון אי''ש/הדס,195457.8,719351.4,2503
1639,40755,אליהו בית צורי/אליהו גולומב,196481.2,719118.9,2504
1641,40757,צומת אור עקיבא לדרום,193453.0,711831.0,3912
1642,40758,צומת אור עקיבא לצפון,193525.4,711943.1,3912
1643,40759,ביאליק/סמסונוב,192751.2,704230.7,4014
1644,40760,דוד שמעוני/מכללה,191324.4,705110.7,4010
1645,40761,דוד שמעוני/פרנק,191485.0,705069.2,4010
1646,40762,השלום/האחו,191005.9,706657.5,4007
1647,40763,האר''י/הגר''א,191141.9,706497.6,4007
1648,40764,הגר''א/עליית הנוער,191215.8,706318.7,4007
1649,40765,מבצע יונתן/מבצע חורב,190775.6,707324.9,4007
1650,40766,ברנר/חוף הכרמל,191553.1,706381.2,4007
1652,40768,מועדון רעים,191294.8,706188.7,4007
1653,40769,הגר''א/חוף הכרמל,191228.1,706312.4,4007
1654,40770,האר''י/הגר''א,191154.5,706517.8,4007
1655,40771,אהרונוביץ'/בלינסון,191246.7,705975.5,4007
1656,40772,צומת חדרה,191953.3,704949.9,4015
1659,40775,העצמאות/יציאת אירופה,195597.4,703619.8,4004
1660,40776,קיבוץ גלויות/גדות,195829.9,703392.3,4004
1661,40777,קיבוץ גלויות/בית ספר פאר עם,195976.0,703023.6,4004
1662,40778,העצמאות/שדרות האביב,195297.3,703764.2,4004
1663,40779,העצמאות/כ''ט בנובמבר,195028.9,703917.8,4004
1665,40781,הגיבורים/שאר ישוב,193151.9,705413.1,4011
1666,40782,הגיבורים/הרב ש' צעירי,193188.8,705546.8,4011
1668,40784,אצ''ל/ירושלים,193454.3,705671.0,4011
1669,40785,אחד העם/הרצל,192525.6,704607.7,4014
1670,40786,פיינברג/לוי אשכול,192349.9,703881.5,4014
1671,40787,ירושלים/שפרינצק,193426.7,705174.8,4011
1676,40792,הדרים/הצפירה,197767.7,707993.5,3917
1678,40794,חשמונאים/פדויים,196340.5,708499.2,3918
1680,40796,צומת איטונג,197656.9,709695.4,3919
1681,40797,דרך הבנים/יד לשילוב,198888.2,709104.5,3916
