TAZ,bus_stops_n,bus_lines_n,bus_lines,bus_dep_0609,bus_dep_0708,bus_headway_0708_min,bus_best_line_headway_0708_min,bus_direct_reach_taz_n,bus_direct_reach_30min_taz_n,bus_nearest_stop_m,bus_stops_per_km2,bus_LOS_frequency,bus_LOS_best_line,brt_stops_n,brt_lines_n,brt_lines,brt_dep_0609,brt_dep_0708,brt_headway_0708_min,brt_best_line_headway_0708_min,brt_direct_reach_taz_n,brt_direct_reach_30min_taz_n,brt_nearest_stop_m,brt_stops_per_km2,brt_LOS_frequency,brt_LOS_best_line,brt_access,brt_lines_named,AggCode_V2,AggAreaName_V2
1933,30,17,10332 10335 10338 10826 11331 11336 11339 11431 12333 14038 14352 23007 27036 30050 30092 46001 56081,157,59,1.02,12.00,97,51,149.70,16.67,A,B,0,0,,0,0,,,0,0,19599.81,0.00,no service,no service,0,,,
1934,21,14,10332 10338 10826 11331 11339 11431 14038 14352 23007 27036 30050 30092 46001 56081,87,34,1.76,12.00,55,35,48.19,11.91,A,B,0,0,,0,0,,,0,0,20549.55,0.00,no service,no service,0,,,
210,11,4,11313 22058 33054 46019,26,10,6.00,20.00,15,15,765.54,1.51,A,C,0,0,,0,0,,,0,0,16904.36,0.00,no service,no service,0,,,
2303,17,10,10037 10795 11791 16050 21055 35058 39002 50001 51054 54081,94,37,1.62,8.57,58,28,592.40,5.47,A,A,0,0,,0,0,,,0,0,6775.91,0.00,no service,no service,0,,,
239,9,8,11064 11313 12312 22058 25284 33054 42020 46019,57,19,3.16,20.00,39,25,972.43,3.05,A,C,0,0,,0,0,,,0,0,14775.53,0.00,no service,no service,0,,,
240,22,8,11064 11313 12312 22058 25284 33054 42020 46019,58,20,3.00,15.00,39,25,279.92,9.13,A,B,0,0,,0,0,,,0,0,15048.64,0.00,no service,no service,0,,,
402,6,7,10255 10307 11296 16157 19094 20143 21057,28,15,4.00,20.00,42,38,509.49,1.33,A,C,0,0,,0,0,,,0,0,10924.07,0.00,no service,no service,0,,,
310,23,12,10260 10265 10846 10968 11299 13242 15065 16058 18044 20045 22043 26056,42,16,3.75,30.00,80,52,98.87,0.60,A,D,0,0,,0,0,,,0,0,15177.24,0.00,no service,no service,0,,,
208,12,10,10048 11061 11294 11305 17282 19035 21148 22058 22147 46019,44,16,3.75,20.00,64,43,1377.17,2.27,A,C,0,0,,0,0,,,0,0,11402.58,0.00,no service,no service,0,,,
1903,21,17,10335 11334 11431 11440 14038 16027 17024 17026 17180 18030 19028 19031 19033 21022 21352 24065 33070,87,34,1.76,15.00,105,53,36.02,24.38,A,B,0,0,,0,0,,,0,0,21532.26,0.00,no service,no service,0,,217.00,Nazareth
